Processes: 906 total, 2 running, 904 sleeping, 3777 threads 
2026/06/18 23:30:46
Load Avg: 1.61, 2.59, 4.18 
CPU usage: 3.61% user, 13.5% sys, 83.33% idle 
SharedLibs: 1096M resident, 185M data, 317M linkedit.
MemRegions: 288673 total, 5256M resident, 549M private, 2840M shared.
PhysMem: 20G used (2435M wired, 3334M compressor), 3577M unused.
VM: 380T vsize, 6144M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 54343211/45G in, 58823274/49G out.
Disks: 24917648/473G read, 25410543/569G written.

PID    COMMAND          %CPU TIME     #TH   #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
68197  QuickLookUIServi 0.0  00:03.02 3     1    161    6673K 0B    1952K 68197 1     sleeping  0[8028]    0.00000 0.00000    501 13575     155    43065      16828      75810      129977     43482      3       38       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68196  com.apple.appkit 0.0  00:46.64 3     1    355    44M   0B    7552K 68196 1     sleeping  0[14146]   0.00000 0.00000    501 174201    386    290579     135093     647049     592908     291259     321     131      0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68195  QuickTime Player 0.0  07:58.63 17    3    631    89M   0B    31M   68195 1     sleeping  0[28341]   0.00000 0.00000    501 356003    503    597862     147512     15232592   1638727    5868446    747     2385     0.0   0      0      100    jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
68132  MTLCompilerServi 0.0  00:00.40 2     1    34     15M   0B    14M   68132 1     sleeping *0[51]      0.00000 0.00000    501 2892      117    243        272        2058       668        407        60      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
67998  zsh              0.0  00:00.57 1     0    22     4560K 0B    1280K 67998 67997 sleeping *0[1]       0.00000 0.00000    501 12185     2370   451        219        87316      554        2086       16      12       0.0   0      0      180    jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
67997  login            0.0  00:00.02 2     1    32     2848K 0B    2432K 67997 1388  sleeping *0[9]       0.00000 0.00000    0   1108      179    99         41         4130       284        151        17      0        0.0   0      0      180    root                   N/A    N/A   N/A   N/A   N/A   N/A  
67216  PerfPowerService 0.0  03:31.79 5     2    640    15M   480K  2720K 67216 1     sleeping *0[3837]    0.00000 0.00000    0   41461     299    1825253    1130806    3333786    2395911    1788743    9       186      0.0   0      0      180    root                   N/A    N/A   N/A   N/A   N/A   N/A  
64345  PlugInLibrarySer 0.0  00:00.01 2     1    23     1920K 0B    1616K 64345 1     sleeping *0[4]       0.00000 0.00000    0   670       85     116        57         389        203        40         2       0        0.0   0      0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
64341  PlugInLibrarySer 0.0  00:00.01 2     1    25     1888K 0B    1584K 64341 1     sleeping  0[0]       0.00000 0.00000    501 593       87     144        60         419        253        131        3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
64335  diskimagesiod    0.0  00:06.13 3     2    81     55M   0B    54M   64335 1     sleeping *0[1]       0.00000 0.00000    271 7478      91     4488       4340       8305       3479       7752       81      0        0.0   0      0      140    _diskimagesiod         N/A    N/A   N/A   N/A   N/A   N/A  
63931  MTLCompilerServi 0.0  00:00.07 2     1    34     7776K 0B    7376K 63931 1     sleeping *0[2]       0.00000 0.00000    501 1515      117    162        220        902        521        372        2       1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63929  com.apple.audio. 0.0  00:00.05 2     1    26     2864K 0B    2432K 63929 1     sleeping *0[1]       0.00000 0.00000    501 1196      101    151        63         515        318        77         3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63926  TGOnDeviceInfere 0.0  00:00.43 5     3/2  104    58M   0B    57M   63926 1     sleeping *0[1]       0.00000 0.00000    301 13110     162    56978      56205      4537       113221     1965       3222    2        0.0   0      0      0      _modelmanagerd         N/A    N/A   N/A   N/A   N/A   N/A  
63925  MTLCompilerServi 0.0  00:00.27 2     1    34     13M   0B    13M   63925 1     sleeping *0[34]      0.00000 0.00000    501 2181      117    209        267        2098       620        421        41      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63924  intelligenceflow 0.0  00:00.96 2     1    85     8816K 0B    7120K 63924 1     sleeping *14[48758]  0.00000 0.00000    501 5475      259    60238      59656      27333      135432     20115      775     0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63923  assistant_servic 0.0  00:01.04 2     1    47     5360K 0B    3424K 63923 1     sleeping *0[2468]    0.00000 0.00000    501 4984      184    264        3825       45248      4438       15146      164     8        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63449  MTLCompilerServi 0.0  00:00.46 2     1    34     16M   0B    15M   63449 1     sleeping *0[117]     0.00000 0.00000    501 4879      117    312        353        3287       827        466        39      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63396  MTLCompilerServi 0.0  00:00.20 2     1    38     15M   0B    14M   63396 1     sleeping *0[21]      0.00000 0.00000    501 4059      117    202        257        1755       615        582        29      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63395  MTLCompilerServi 0.0  00:00.25 2     1    34     14M   0B    13M   63395 1     sleeping *0[31]      0.00000 0.00000    501 3233      117    210        257        1623       617        858        27      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63394  ThemeWidgetContr 0.0  00:03.12 3     1    161    7168K 0B    2432K 63394 1     sleeping  0[8694]    0.00000 0.00000    501 13768     156    46203      17741      77456      139039     47945      16      44       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63283  MTLCompilerServi 0.0  00:00.07 2     1    34     7632K 0B    7248K 63283 1     sleeping *0[2]       0.00000 0.00000    501 1627      117    163        220        900        516        277        62      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63263  ThemeWidgetContr 0.0  00:03.05 3     1    161    7408K 0B    2448K 63263 1     sleeping  0[8766]    0.00000 0.00000    501 14197     156    46556      18221      78270      140312     46707      21      40       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
63148  VisualGeneration 0.0  00:00.30 9     8/2  83     6096K 0B    5664K 63148 1     sleeping *0[1]       0.00000 0.00000    301 6356      159    1580       598        5325       2528       1299       50      0        0.0   0      0      0      _modelmanagerd         N/A    N/A   N/A   N/A   N/A   N/A  
57675  webprivacyd      0.0  00:01.35 3     1    62     4848K 0B    2352K 57675 1     sleeping *0[92]      0.00000 0.00000    501 10157     118    2120       2816       48066      8589       18880      22      110      0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
56241  MTLCompilerServi 0.0  00:00.13 2     1    38     13M   0B    13M   56241 1     sleeping *0[12]      0.00000 0.00000    501 2678      117    196        250        1621       599        451        13      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
56240  MTLCompilerServi 0.0  00:00.21 2     1    34     14M   0B    14M   56240 1     sleeping *0[35]      0.00000 0.00000    501 3413      117    212        263        1707       628        751        35      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
56239  LookupViewServic 0.0  00:04.36 3     1    230    21M   0B    11M   56239 1     sleeping  0[9616]    0.00000 0.00000    501 20585     452    57786      22174      107539     164707     62562      355     52       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
55632  LookupViewServic 0.0  00:05.38 3     1    230    21M   0B    14M   55632 1     sleeping  0[12825]   0.00000 0.00000    501 28465     356    78068      29970      133495     221878     87938      116     70       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
54815  ArchiveService   0.0  00:01.19 2     1    44     3360K 0B    2896K 54815 1     sleeping *0[1]       0.00000 0.00000    501 1918      104    217        87         24458      410        4781       18      0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
54752  AppleSpell       0.0  01:25.39 2     1    158    44M   0B    6880K 54752 1     sleeping *0[1]       0.00000 0.00000    501 41716     197    23737      12857      3493270    81098      1517590    2046    21       0.0   0      0      40     jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
